GPStime,peakFreq,snr,amplitude,centralFreq,duration,bandwidth,chisq,chisqDof,confidence,id,ifo,label,imgUrl,Q-value
1243545962.473,32.173,1289.174,1.76e-20,3905.845,4.819,7791.69043,0.0,0.0,1.0,pdMNJGCZah,L1,Extremely_Loud,https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O3/3xvc6qN71s/pdMNJGCZah.png,5.657
1243044134.488,26.015,1277.058,2.3599999999999998e-20,3980.241,6.25,7940.48291,0.0,0.0,1.0,4TTBcn3MCv,L1,Extremely_Loud,https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O3/uAql8ha7n5/4TTBcn3MCv.png,11.314
1239184350.317,498.708,1189.1989999999996,4.6999999999999995e-21,3978.336,7.347,7944.293456999999,0.0,0.0,1.0,uxGja7ghvx,L1,Extremely_Loud,https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O3/Xa78aIxUtp/uxGja7ghvx.png,5.657
1246764146.332,39.789,1127.895,9.08e-21,3980.241,4.75,7940.48291,0.0,0.0,1.0,4yxEvsVkxN,L1,Extremely_Loud,https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O3/CRWpeIi3re/4yxEvsVkxN.png,11.314
1238576209.512,47.124,1050.809,6.75e-21,3979.047,4.423,7942.870605,0.0,0.0,1.0,cDz7k2XYd4,L1,Extremely_Loud,https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O3/X5YEP6BOZ9/cDz7k2XYd4.png,11.314
1251490542.816,32.173,1034.534,1.3e-20,3980.241,6.067,7940.48291,0.0,0.0,1.0,vcLyyMe1kx,L1,Extremely_Loud,https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O3/3hnlN7o5Th/vcLyyMe1kx.png,22.627
1248824413.348,411.865,990.724,3.65e-21,3878.874,4.5,7737.748047,0.0,0.0,1.0,gOqLxuRtsS,L1,Extremely_Loud,https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O3/SqhgvUVNUH/gOqLxuRtsS.png,5.657
1244935920.496,32.173,962.011,1.04e-20,3612.135,3.5,7204.269531,0.0,0.0,1.0,lf3wL1ZIPH,L1,Extremely_Loud,https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O3/bti40Yf4Lt/lf3wL1ZIPH.png,11.314
1241641438.014,333.03,925.365,3.2200000000000003e-21,3980.241,27.0,7940.48291,0.0,0.0,1.0,tVmFesuyaO,L1,Extremely_Loud,https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O3/Bkd59X1Bmj/tVmFesuyaO.png,5.657
1245125842.559,32.173,916.632,1.05e-20,3980.241,4.75,7940.48291,0.0,0.0,1.0,tfHUmKvls7,L1,Extremely_Loud,https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O3/v9ZS26GOUA/tfHUmKvls7.png,22.627
1240303135.013,137.711,877.186,2.93e-21,3978.998,6.5760000000000005,7942.969238,0.0,0.0,1.0,ZL9nlErulW,L1,Extremely_Loud,https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O3/kt9MMxoXJ1/ZL9nlErulW.png,11.314
1249120989.255,176.063,818.42,2.72e-21,3905.845,4.25,7791.69043,0.0,0.0,1.0,7KLbNUD8oJ,L1,Extremely_Loud,https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O3/VooQLEnf7N/7KLbNUD8oJ.png,5.657
1244731973.617,27.308000000000003,734.8660000000001,1.1599999999999997e-20,3878.874,5.25,7737.748047,0.0,0.0,1.0,qcjCuSX6gu,L1,Extremely_Loud,https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O3/ZasgYU0OPB/qcjCuSX6gu.png,22.627
1250543178.563,63.99100000000001,379.79,2.08e-21,3980.241,13.5,7940.48291,0.0,0.0,1.0,LQ2MaVZ3ps,L1,Scratchy,https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O3/7vcXP86hWn/LQ2MaVZ3ps.png,5.657
1253426470.382,1245.183,92.422,6.72e-22,3600.261,0.722,7095.897948999998,0.0,0.0,1.0,bozFgShQsI,L1,Whistle,https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O3/8smt8EXhPi/bozFgShQsI.png,45.255
1253547941.451,1418.098,72.84899999999998,6e-22,2012.789,0.805,3641.653076,0.0,0.0,1.0,qumts9rT0p,L1,Whistle,https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O3/tClQeaHzVD/qumts9rT0p.png,45.255
1252783349.307,1573.3770000000004,69.89699999999999,6.29e-22,2385.022,1.2990000000000002,4712.182617,0.0,0.0,1.0,RO7cVosfVP,L1,Whistle,https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O3/r68TLUYq2v/RO7cVosfVP.png,45.255
